drug_name,gene_symbol,action,affinity_nm,source
Allopurinol,XDH,inhibitor,670.0,ChEMBL/Massey1970
Amlodipine,CACNA1C,inhibitor,0.9,ChEMBL/Burges1987
Anastrozole,CYP19A1,inhibitor,15.0,ChEMBL/Plourde1994
Atorvastatin,HMGCR,inhibitor,8.2,ChEMBL/Istvan2001
Axitinib,FLT1,inhibitor,1.2,ChEMBL/Hu-Lowe2008
Bexarotene,RXRA,agonist,33.0,ChEMBL/Boehm1994
Bortezomib,PSMB5,inhibitor,0.6,ChEMBL/Adams2003
Celecoxib,PTGS2,inhibitor,40.0,ChEMBL/Penning1997
Cisplatin,ERCC1,unknown,4000.0,DrugBank/adduct_indirect_estimate
Crizotinib,ALK,inhibitor,0.9,ChEMBL/Christensen2007
Cyclophosphamide,ALDH1A1,unknown,1200.0,DrugBank/Sladek1988_estimated
Dasatinib,SRC,inhibitor;multitarget,0.5,ChEMBL/Shah2004
Diclofenac,PTGS2,inhibitor,27.0,ChEMBL/Mancy1999
Donepezil,ACHE,inhibitor,6.7,ChEMBL/Sugimoto1995
Erlotinib,EGFR,antagonist,0.7,ChEMBL/Moyer1997
Etoposide,TOP2A,inhibitor,200.0,DrugBank/Chen1984_Topo2_complex
Fluoxetine,SLC6A4,inhibitor,0.8,ChEMBL/Wong1974
Gefitinib,EGFR,antagonist,2.0,ChEMBL/Wakeling2002
Haloperidol,DRD2,antagonist,0.7,ChEMBL/Seeman1980
Ibuprofen,PTGS1,inhibitor,4700.0,ChEMBL/Mitchell1994
Imatinib,ABL1,inhibitor,1.0,ChEMBL/Druker2001
Lapatinib,ERBB2,antagonist,9.2,ChEMBL/Rusnak2001
Letrozole,CYP19A1,antagonist,11.5,ChEMBL/Bhatnagar1993
Levodopa,DDC,unknown,2200.0,DrugBank/substrate_Km_estimate
Losartan,AGTR1,antagonist,4.6,ChEMBL/Timmermans1993
Memantine,GRIN1,binder,500.0,ChEMBL/Parsons1993
Metformin,ACACB,activator,3600.0,DrugBank/estimated_indirect
Methotrexate,DHFR,inhibitor,3.4,ChEMBL/Blakley1995
Nilotinib,ABL1,inhibitor,0.6,ChEMBL/Weisberg2005
Olanzapine,HTR2A,antagonist,1.9,ChEMBL/Bymaster1996
Osimertinib,EGFR,inhibitor;regulator,1.5,ChEMBL/Cross2014
Paroxetine,SLC6A4,inhibitor,0.07,ChEMBL/Hyttel1982
Pazopanib,PDGFRA,inhibitor,84.0,ChEMBL/Kumar2007
Pioglitazone,PPARG,agonist,49.0,ChEMBL/Lehmann1995
Ponatinib,FGFR1,inhibitor,22.0,ChEMBL/OHare2009
